Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Approval Status,Origin
Rima Agatharchides,Rima Agatharchides,Moon,54.25,-20.38,-28.56,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Agricola,Rima Agricola,Moon,125.08,29.25,-53.42,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby Montes.
Rima Archytas,Rima Archytas,Moon,90.18,53.63,3.00,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Ariadaeus,Rima Ariadaeus,Moon,247.45,6.48,13.44,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Artsimovich,Rima Artsimovich,Moon,68.06,26.66,-38.65,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Billy,Rima Billy,Moon,69.82,-14.74,-48.04,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Birt,Rima Birt,Moon,54.18,-21.40,-9.28,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Bradley,Rima Bradley,Moon,133.76,24.17,-0.60,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby Mons.
Rima Brayley,Rima Brayley,Moon,327.26,22.30,-36.35,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Calippus,Rima Calippus,Moon,40.00,37.03,12.66,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Cardanus,Rima Cardanus,Moon,221.93,11.32,-71.14,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Carmen,Rima Carmen,Moon,15.02,19.95,29.30,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Spanish female name.
Rima Cauchy,Rima Cauchy,Moon,167.00,10.42,38.07,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Cleomedes,Rima Cleomedes,Moon,45.54,27.98,56.51,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Within crater.
Rima Cleopatra,Rima Cleopatra,Moon,14.66,30.03,-53.80,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Greek female name.
Rima Conon,Rima Conon,Moon,37.32,18.69,1.85,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Dawes,Rima Dawes,Moon,15.00,17.58,26.63,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Delisle,Rima Delisle,Moon,57.60,30.87,-32.35,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Diophantus,Rima Diophantus,Moon,201.50,28.70,-33.67,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rima Draper,Rima Draper,Moon,244.16,17.37,-25.37,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Alphonsus,Rimae Alphonsus,Moon,87.00,-13.40,-1.94,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Within crater of same name.
Rimae Apollonius,Rimae Apollonius,Moon,89.64,4.39,54.33,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Archimedes,Rimae Archimedes,Moon,215.00,26.34,-4.53,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Aristarchus,Rimae Aristarchus,Moon,175.00,27.52,-47.25,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Arzachel,Rimae Arzachel,Moon,57.00,-18.31,-1.38,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Within crater.
Rimae Atlas,Rimae Atlas,Moon,46.80,46.82,44.42,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Within crater.
Rimae Bode,Rimae Bode,Moon,233.00,9.54,-3.22,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Boscovich,Rimae Boscovich,Moon,32.00,9.87,11.27,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Within crater.
Rimae Bürg,Rimae Burg,Moon,98.00,44.70,25.27,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Chacornac,Rimae Chacornac,Moon,100.00,29.01,31.24,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Daniell,Rimae Daniell,Moon,140.25,37.53,24.33,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Darwin,Rimae Darwin,Moon,170.00,-19.84,-66.66,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae de Gasparis,Rimae de Gasparis,Moon,46.65,-24.99,-50.30,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Doppelmayer,Rimae Doppelmayer,Moon,7.80,-26.23,-44.53,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Focas,Rimae Focas,Moon,61.00,-27.68,-97.54,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Fresnel,Rimae Fresnel,Moon,75.00,28.11,3.73,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby promontorium.
Rimae Gassendi,Rimae Gassendi,Moon,70.00,-17.47,-39.87,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Within crater.
Rimae Gerard,Rimae Gerard,Moon,110.00,45.54,-84.36,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Goclenius,Rimae Goclenius,Moon,190.00,-7.84,42.88,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
[Rimae Golitsyn],Rimae Golitsyn,Moon,0.00,-25.10,-105.00,"Planetographic, +East, -180 - 180","Rima, rimae",Dropped,Part of Rimae Pettit.
Rimae Grimaldi,Rimae Grimaldi,Moon,162.00,-6.18,-63.90,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Gutenberg,Rimae Gutenberg,Moon,223.00,-4.42,36.42,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Hase,Rimae Hase,Moon,257.24,-34.71,67.78,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Herigonius,Rimae Herigonius,Moon,180.00,-13.92,-36.75,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Hevelius,Rimae Hevelius,Moon,180.00,0.81,-66.38,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Hippalus,Rimae Hippalus,Moon,266.00,-25.60,-29.36,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Hypatia,Rimae Hypatia,Moon,200.00,-0.34,22.78,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Janssen,Rimae Janssen,Moon,120.00,-45.80,39.26,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Within crater.
Rimae Kopff,Rimae Kopff,Moon,250.00,-14.68,-88.10,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
[Rimae Liebig],Rimae Liebig,Moon,0.00,-20.00,-45.00,"Planetographic, +East, -180 - 180","Rima, rimae",Dropped,Named from nearby crater. (Name dropped because it is the same feature as Rimae Mersenius.)
Rimae Littrow,Rimae Littrow,Moon,165.00,22.47,30.47,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Maclear,Rimae Maclear,Moon,94.00,12.23,19.90,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Maestlin,Rimae Maestlin,Moon,71.00,2.88,-40.48,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Maupertuis,Rimae Maupertuis,Moon,50.00,51.24,-22.82,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Menelaus,Rimae Menelaus,Moon,87.00,17.10,17.77,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Mersenius,Rimae Mersenius,Moon,240.00,-20.69,-46.53,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named for nearby crater.
Rimae Opelt,Rimae Opelt,Moon,55.00,-13.64,-18.14,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Palmieri,Rimae Palmieri,Moon,27.13,-27.83,-47.17,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Parry,Rimae Parry,Moon,210.00,-8.07,-16.52,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Named from nearby crater.
Rimae Petavius,Rimae Petavius,Moon,110.00,-25.23,60.48,"Planetographic, +East, -180 - 180","Rima, rimae",Approved,Within crater.
