Name,Selenographic Coordinates,Diameter (km),Depth (km),Topography,Distance from South Pole (km)
Shackleton Rim,-,-,-,-,-
Amundsen-Ganswindth Basin,81°S 120°E,335,-,-,272.8473219642737
Schrodinger-Zeeman Basin,81°S 165°W,250,-,-,272.8473219642737
Drygalski Crater,79.3°S 84.9°W,149,4,https://lunar.gsfc.nasa.gov/lola/images/weekly/drygalski.jpg,316.199729787486
Ganswindth Crater(South),79.6°S 110.3°E,74,Unknown,-,320.7471851535569
Schomberger Crater,76.7°S 24.9°E,85,3.4,-,405.02669127141036
Newton Crater,76.7°S 16.9°W,79,6.1,-,408.6646555642675
Zeeman Crater,75.2°S 134.8°W,184,Unknown,-,452.62339076962286
Schrodinger Basin,75.0°S 132.4°E,312,Unknown,-,462.9309562660507

