Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
Catena Abulfeda,-16.59,16.7,"Planetographic, +East, -180 - 180",2226.0371546368133
﻿Catena Artamonov,26.09,105.77,"Planetographic, +East, -180 - 180",3520.2377507395136
﻿Catena Brigitte,18.5,27.49,"Planetographic, +East, -180 - 180",3290.083521020218
﻿Catena Davy,-10.98,-6.27,"Planetographic, +East, -180 - 180",2396.151150516292
﻿Catena Dziewulski,18.78,100.27,"Planetographic, +East, -180 - 180",3298.574059138981
﻿Catena Gregory,-0.59,129.8,"Planetographic, +East, -180 - 180",2711.2107614232054
﻿Catena Humboldt,-21.98,84.7,"Planetographic, +East, -180 - 180",2062.5942958506475
﻿Catena Krafft,14.91,-72.25,"Planetographic, +East, -180 - 180",3181.222692997522
﻿Catena Kurchatov,37.25,136.6,"Planetographic, +East, -180 - 180",3858.6463414730215
﻿Catena Leuschner  GDL,5.07,-111.3,"Planetographic, +East, -180 - 180",2882.8409248238913
﻿Catena Littrow,22.23,29.61,"Planetographic, +East, -180 - 180",3403.1896181022967
﻿Catena Lucretius  RNII,-4.03,-126.45,"Planetographic, +East, -180 - 180",2606.898435964131
﻿Catena Mendeleev,6.63,139.22,"Planetographic, +East, -180 - 180",2930.145351485565
﻿Catena Michelson  GIRD,-0.44,-113.58,"Planetographic, +East, -180 - 180",2715.759263986827
﻿Catena Pierre,19.76,-31.86,"Planetographic, +East, -180 - 180",3328.2909425546472
﻿Catena Sumner,37.89,111.91,"Planetographic, +East, -180 - 180",3878.0532857444778
﻿Catena Sylvester,79.99,-83.12,"Planetographic, +East, -180 - 180",5154.6663386011705
﻿Catena Taruntius,3.04,48.71,"Planetographic, +East, -180 - 180",2821.284523462868
﻿Catena Timocharis,29.09,-13.21,"Planetographic, +East, -180 - 180",3611.2078020119616
﻿Catena Yuri,24.41,-30.38,"Planetographic, +East, -180 - 180",3469.2945220269426
