Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿8 Homeward,-12.02,97.09,"Planetographic, +East, -180 - 180",2364.614866075177
﻿Abbe,-57.58,174.77,"Planetographic, +East, -180 - 180",983.0830207509266
﻿Abbot,5.56,54.74,"Planetographic, +East, -180 - 180",2897.6993665317245
﻿Abel,-34.63,85.78,"Planetographic, +East, -180 - 180",1679.003912985157
﻿Abenezra,-20.99,11.89,"Planetographic, +East, -180 - 180",2092.614412770556
﻿Abetti,20.11,27.82,"Planetographic, +East, -180 - 180",3338.9041152030995
﻿Abulfeda,-13.87,13.91,"Planetographic, +East, -180 - 180",2308.5166677905
﻿Abul Wafa,0.96,116.63,"Planetographic, +East, -180 - 180",2758.211954580637
﻿Acosta,-5.65,60.14,"Planetographic, +East, -180 - 180",2557.7746082770086
﻿Adams,-31.89,68.39,"Planetographic, +East, -180 - 180",1762.0898931473268
﻿Aepinus,87.96,-109.69,"Planetographic, +East, -180 - 180",5396.343441481633
﻿Agatharchides,-19.85,-31.11,"Planetographic, +East, -180 - 180",2127.183032254087
﻿Agrippa,4.1,10.47,"Planetographic, +East, -180 - 180",2853.427274912466
﻿Airy,-18.14,5.61,"Planetographic, +East, -180 - 180",2179.0359614793815
﻿Aitken,-16.44,172.96,"Planetographic, +East, -180 - 180",2230.585657200436
﻿Akis,20.01,-31.76,"Planetographic, +East, -180 - 180",3335.8717801606845
﻿Alan,-10.93,-6.17,"Planetographic, +East, -180 - 180",2397.6673180374996
﻿Al Bakri,14.34,20.25,"Planetographic, +East, -180 - 180",3163.938383255757
﻿Albategnius,-11.24,4.01,"Planetographic, +East, -180 - 180",2388.267079406013
﻿Albert,38.32,-35.01,"Planetographic, +East, -180 - 180",3891.0923264268617
﻿Al Biruni,18.07,92.62,"Planetographic, +East, -180 - 180",3277.0444803378346
﻿Alden,-23.51,111.11,"Planetographic, +East, -180 - 180",2016.1995697016994
﻿Alder,-48.63,-177.88,"Planetographic, +East, -180 - 180",1254.4770070470643
﻿Aldrin,1.41,22.09,"Planetographic, +East, -180 - 180",2771.8574622715046
﻿Alekhin,-67.94,-131.85,"Planetographic, +East, -180 - 180",668.9331103567379
﻿Alexander,40.25,13.69,"Planetographic, +East, -180 - 180",3949.61639274547
﻿Alfraganus,-5.42,18.97,"Planetographic, +East, -180 - 180",2564.748978874563
﻿Alhazen,15.91,71.83,"Planetographic, +East, -180 - 180",3211.5460434216716
﻿Aliacensis,-30.6,5.13,"Planetographic, +East, -180 - 180",1801.207015194479
﻿Al Khwarizmi,7.02,107.01,"Planetographic, +East, -180 - 180",2941.9714581509825
﻿Almanon,-16.85,15.14,"Planetographic, +East, -180 - 180",2218.153083526535
﻿Al Marrakushi,-10.45,55.77,"Planetographic, +East, -180 - 180",2412.222526241091
﻿Aloha,29.79,-53.88,"Planetographic, +East, -180 - 180",3632.4341473088666
﻿Alpetragius,-16.05,-4.51,"Planetographic, +East, -180 - 180",2242.4117638658545
﻿Alphonsus,-13.39,-2.85,"Planetographic, +East, -180 - 180",2323.0718759940914
﻿Alter,18.74,-107.8,"Planetographic, +East, -180 - 180",3297.361125122015
﻿Ameghino,3.3,57.04,"Planetographic, +East, -180 - 180",2829.1685945731465
﻿Amici,-10.06,-172.23,"Planetographic, +East, -180 - 180",2424.0486329065097
﻿Ammonius,-8.52,-0.83,"Planetographic, +East, -180 - 180",2470.7465925597
﻿Amontons,-5.34,46.78,"Planetographic, +East, -180 - 180",2567.174846908495
﻿Amundsen,-84.44,83.07,"Planetographic, +East, -180 - 180",168.59782835827116
﻿Anaxagoras,73.48,-10.17,"Planetographic, +East, -180 - 180",4957.261327339957
﻿Anaximander,66.97,-51.44,"Planetographic, +East, -180 - 180",4759.8563160787435
﻿Anaximenes,72.49,-44.98,"Planetographic, +East, -180 - 180",4927.241210420049
﻿Andel,-10.41,12.38,"Planetographic, +East, -180 - 180",2413.435460258057
﻿Anders,-41.31,-143.3,"Planetographic, +East, -180 - 180",1476.4439321518382
﻿Anders Earthrise,-11.73,100.47,"Planetographic, +East, -180 - 180",2373.408637698181
﻿Anderson,15.5,170.79,"Planetographic, +East, -180 - 180",3199.1134697477705
﻿Andersson,-49.95,-95.46,"Planetographic, +East, -180 - 180",1214.4501844871868
﻿Andronov,-22.68,146.11,"Planetographic, +East, -180 - 180",2041.3679505537427
﻿Ango,20.48,-32.34,"Planetographic, +East, -180 - 180",3350.1237548600348
﻿Angstrom,29.9,-41.67,"Planetographic, +East, -180 - 180",3635.769715855524
