Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Approval Status,Origin
8 Homeward,8 Homeward,Moon,12.52,-12.02,97.09,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Crater visible in the iconic “Earthrise” colour photograph, taken aboard Apollo 8 by W. A. Anders on December 24, 1968, symbolizes the safe return to Earth of Apollo 8. The crater was previously designated Ganskiy (Hansky) M."
Abbe,Abbe,Moon,63.98,-57.58,174.77,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Ernst Karl; German optician, physicist, astronomer (1840-1905)."
Abbot,Abbot,Moon,10.40,5.56,54.74,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Charles Greeley; American astrophysicist (1872-1973).
Abel,Abel,Moon,137.35,-34.63,85.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Niels Henrik; Norwegian mathematician (1802-1829).
Abenezra,Abenezra,Moon,43.19,-20.99,11.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
Abetti,Abetti,Moon,1.60,20.11,27.82,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Antonio; Italian astronomer (1846-1928); Giorgio; Italian astronomer (1882-1982).
Abulfeda,Abulfeda,Moon,62.23,-13.87,13.91,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
Abul Wáfa,Abul Wafa,Moon,54.18,0.96,116.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998)."
Acosta,Acosta,Moon,13.06,-5.65,60.14,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Cristobal; Portuguese doctor, natural historian (1515-1580)."
Adams,Adams,Moon,63.27,-31.89,68.39,"Planetographic, +East, -180 - 180","Crater, craters",Approved,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).
Aepinus,Aepinus,Moon,16.74,87.96,-109.69,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Franz Maria Ulrich Theodor Hoch; German-Russian astronomer (1724-1802).
Agatharchides,Agatharchides,Moon,51.98,-19.85,-31.11,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
Agrippa,Agrippa,Moon,43.75,4.10,10.47,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek astronomer (unkn-fl. A.D. 92).
Airy,Airy,Moon,38.90,-18.14,5.61,"Planetographic, +East, -180 - 180","Crater, craters",Approved,George Biddell; British astronomer (1801-1892).
Aitken,Aitken,Moon,129.69,-16.44,172.96,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Robert Grant; American astronomer (1864-1951).
Akis,Akis,Moon,2.28,20.01,-31.76,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek female name.
Alan,Alan,Moon,1.44,-10.93,-6.17,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Irish male name.
Al-Bakri,Al Bakri,Moon,12.21,14.34,20.25,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Abū Ubayd Abdallāh Ibn abd al-Azīz Ibn Muhammad; Spanish-Arab geographer (1010-1094).
Albategnius,Albategnius,Moon,130.84,-11.24,4.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Muhammed Ben Geber Al-Battānī; Arab astronomer, mathematician (c. 858-929)."
Albert,Albert,Moon,0.10,38.32,-35.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Male name of German origin (Lunokhod-1 landing site feature).
Al-Biruni,Al Biruni,Moon,80.41,18.07,92.62,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Abū ar-Rayhān Muhammad ibn Ahmad al-Birūnī; Persian astronomer, mathematician, geographer (973-1048)."
Alden,Alden,Moon,111.44,-23.51,111.11,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Harold Lee; American astronomer (1890-1964).
Alder,Alder,Moon,82.12,-48.63,-177.88,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Kurt; German organic chemist; Nobel laureate (1902-1958).
Aldrin,Aldrin,Moon,2.80,1.41,22.09,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Edwin Eugene, Jr. (“;Buzz“;); American astronaut (1930-Live)."
Alekhin,Alekhin,Moon,74.82,-67.94,-131.85,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Nikolaj Pavlovich; Soviet rocket designer, engineer (1913-1964)."
Alexander,Alexander,Moon,94.80,40.25,13.69,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Alexander the Great, of Macedon; Greek geographer (356-323 B.C.)."
Alfraganus,Alfraganus,Moon,20.52,-5.42,18.97,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Al-Fargani, Abu'l-'Abbās Ahmad Ibn Muhammad Ibn Kathīr; Persian astronomer (unkn-c. 840)."
Alhazen,Alhazen,Moon,34.65,15.91,71.83,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Abū Ali Al-Hasan Ibn Al Haitham; Iraqi mathematician (987-1038).
Aliacensis,Aliacensis,Moon,79.65,-30.60,5.13,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"D'Ailly, Pierre; French geographer (1350-1420)."
Al-Khwarizmi,Al Khwarizmi,Moon,56.25,7.02,107.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Abū Ja'far Muhammad Ibn Mūsā; Iraqi mathematician (unkn-after 847).
