Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
Dorsa Aldrovandi,23.61,28.65,"Planetographic, +East, -180 - 180",3445.035841687623
﻿Dorsa Andrusov,-1.56,56.77,"Planetographic, +East, -180 - 180",2681.7971115117803
﻿Dorsa Argand,28.29,-40.34,"Planetographic, +East, -180 - 180",3586.9491216726424
﻿Dorsa Barlow,14.04,30.57,"Planetographic, +East, -180 - 180",3154.841378128512
﻿Dorsa Burnet,26.18,-56.78,"Planetographic, +East, -180 - 180",3522.966852277687
﻿Dorsa Cato,0.21,47.7,"Planetographic, +East, -180 - 180",2735.469441762525
﻿Dorsa Dana,2.26,89.6,"Planetographic, +East, -180 - 180",2797.6323101320313
﻿Dorsa Ewing,-11.06,-38.31,"Planetographic, +East, -180 - 180",2393.7252824823604
﻿Dorsa Geikie,-4.21,52.83,"Planetographic, +East, -180 - 180",2601.440232887784
﻿Dorsa Harker,13.79,63.65,"Planetographic, +East, -180 - 180",3147.2605405224745
﻿Dorsa Lister,19.76,23.52,"Planetographic, +East, -180 - 180",3328.2909425546472
﻿Dorsa Mawson,-7.77,52.48,"Planetographic, +East, -180 - 180",2493.489105377812
﻿Dorsa Rubey,-9.88,-42.36,"Planetographic, +East, -180 - 180",2429.5068359828565
﻿Dorsa Smirnov,26.41,25.53,"Planetographic, +East, -180 - 180",3529.941222875241
﻿Dorsa Sorby,18.65,13.7,"Planetographic, +East, -180 - 180",3294.6320235838407
﻿Dorsa Stille,26.91,-18.85,"Planetographic, +East, -180 - 180",3545.102898087316
﻿Dorsa Tetyaev,20.02,64.06,"Planetographic, +East, -180 - 180",3336.175013664926
﻿Dorsa Whiston,29.77,-56.96,"Planetographic, +East, -180 - 180",3631.8276803003837
﻿Dorsum Arduino,24.77,-36.27,"Planetographic, +East, -180 - 180",3480.2109281796356
﻿Dorsum Azara,26.86,19.17,"Planetographic, +East, -180 - 180",3543.5867305661086
﻿Dorsum Bucher,30.76,-39.55,"Planetographic, +East, -180 - 180",3661.8477972202913
﻿Dorsum Buckland,19.43,14.3,"Planetographic, +East, -180 - 180",3318.2842369146774
﻿Dorsum Cayeux,0.76,51.22,"Planetographic, +East, -180 - 180",2752.147284495807
﻿Dorsum Cloos,1.15,90.41,"Planetographic, +East, -180 - 180",2763.9733911612257
﻿Dorsum Cushman,1.42,49.19,"Planetographic, +East, -180 - 180",2772.160695775746
﻿Dorsum Gast,24.38,8.71,"Planetographic, +East, -180 - 180",3468.3848215142175
﻿Dorsum Grabau,29.76,-14.19,"Planetographic, +East, -180 - 180",3631.524446796142
﻿Dorsum Guettard,-9.92,-18.26,"Planetographic, +East, -180 - 180",2428.2939019658907
﻿Dorsum Heim,32.2,-29.83,"Planetographic, +East, -180 - 180",3705.513421831067
﻿Dorsum Higazy,27.93,-17.47,"Planetographic, +East, -180 - 180",3576.0327155199484
﻿Dorsum Nicol,18.32,22.66,"Planetographic, +East, -180 - 180",3284.6253179438722
﻿Dorsum Niggli,29.01,-52.28,"Planetographic, +East, -180 - 180",3608.78193397803
﻿Dorsum Oppel,19.31,52.09,"Planetographic, +East, -180 - 180",3314.64543486378
﻿Dorsum Owen,25.14,11.09,"Planetographic, +East, -180 - 180",3491.4305678365718
﻿Dorsum Scilla,32.34,-60.0,"Planetographic, +East, -180 - 180",3709.7586908904477
﻿Dorsum Termier,11.63,57.15,"Planetographic, +East, -180 - 180",3081.7621036063124
﻿Dorsum Thera,24.4,-31.42,"Planetographic, +East, -180 - 180",3468.991288522701
﻿Dorsum Von Cotta,23.6,11.95,"Planetographic, +East, -180 - 180",3444.7326081833817
﻿Dorsum Zirkel,29.55,-24.82,"Planetographic, +East, -180 - 180",3625.1565432070706
