Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿Lacus Aestatis,-14.83,-68.57,"Planetographic, +East, -180 - 180",2279.406251383317
﻿Lacus Autumni,-11.81,-83.17,"Planetographic, +East, -180 - 180",2370.982769664248
﻿Lacus Bonitatis,23.18,44.32,"Planetographic, +East, -180 - 180",3431.9968010052385
﻿Lacus Doloris,16.8,8.61,"Planetographic, +East, -180 - 180",3238.5338252991646
﻿Lacus Excellentiae,-35.65,-43.58,"Planetographic, +East, -180 - 180",1648.0740955525246
﻿Lacus Felicitatis,18.52,5.36,"Planetographic, +East, -180 - 180",3290.6899880287015
﻿Lacus Gaudii,16.33,12.27,"Planetographic, +East, -180 - 180",3224.2818505998143
﻿Lacus Hiemalis,15.01,13.97,"Planetographic, +East, -180 - 180",3184.2550280399373
﻿Lacus Lenitatis,14.32,12.05,"Planetographic, +East, -180 - 180",3163.331916247274
﻿Lacus Luxuriae,19.41,175.5,"Planetographic, +East, -180 - 180",3317.677769906195
﻿Lacus Mortis,45.13,27.32,"Planetographic, +East, -180 - 180",4097.59434281532
﻿Lacus Oblivionis,-20.39,-168.52,"Planetographic, +East, -180 - 180",2110.808423025045
﻿Lacus Odii,19.22,7.27,"Planetographic, +East, -180 - 180",3311.9163333256065
﻿Lacus Perseverantiae,7.84,61.93,"Planetographic, +East, -180 - 180",2966.836605498785
﻿Lacus Solitudinis,-27.52,103.88,"Planetographic, +East, -180 - 180",1894.6029345008606
﻿Lacus Somniorum,37.56,30.8,"Planetographic, +East, -180 - 180",3868.046580104508
﻿Lacus Spei,43.46,65.2,"Planetographic, +East, -180 - 180",4046.95434760699
﻿Lacus Temporis,46.77,56.21,"Planetographic, +East, -180 - 180",4147.324637510925
﻿Lacus Timoris,-39.42,-27.95,"Planetographic, +East, -180 - 180",1533.7550644534808
﻿Lacus Veris,-16.48,-85.91,"Planetographic, +East, -180 - 180",2229.3727231834696
