Feature Name,Clean Feature Name,Diameter,Center Latitude,Center Longitude,Coordinate System,Approval Status,Origin
Lacus Aestatis,Lacus Aestatis,86.39,-14.83,-68.57,"Planetographic, +East, -180 - 180",Approved,“;Lake of Summer.“;
Lacus Autumni,Lacus Autumni,195.65,-11.81,-83.17,"Planetographic, +East, -180 - 180",Approved,“;Lake of Autumn.“;
Lacus Bonitatis,Lacus Bonitatis,122.10,23.18,44.32,"Planetographic, +East, -180 - 180",Approved,“;Lake of Goodness.“;
Lacus Doloris,Lacus Doloris,102.90,16.80,8.61,"Planetographic, +East, -180 - 180",Approved,“;Lake of Sorrow.“;
Lacus Excellentiae,Lacus Excellentiae,197.74,-35.65,-43.58,"Planetographic, +East, -180 - 180",Approved,“;Lake of Excellence.“;
Lacus Felicitatis,Lacus Felicitatis,98.48,18.52,5.36,"Planetographic, +East, -180 - 180",Approved,“;Lake of Happiness.“;
Lacus Gaudii,Lacus Gaudii,88.54,16.33,12.27,"Planetographic, +East, -180 - 180",Approved,“;Lake of Joy.“;
Lacus Hiemalis,Lacus Hiemalis,48.04,15.01,13.97,"Planetographic, +East, -180 - 180",Approved,“;Wintry Lake.“;
Lacus Lenitatis,Lacus Lenitatis,78.25,14.32,12.05,"Planetographic, +East, -180 - 180",Approved,“;Lake of Softness.“;
Lacus Luxuriae,Lacus Luxuriae,50.61,19.41,175.50,"Planetographic, +East, -180 - 180",Approved,“;Lake of Luxury.“;
Lacus Mortis,Lacus Mortis,158.78,45.13,27.32,"Planetographic, +East, -180 - 180",Approved,“;Lake of Death.“;
Lacus Oblivionis,Lacus Oblivionis,49.01,-20.39,-168.52,"Planetographic, +East, -180 - 180",Approved,“;Lake of Forgetfulness.“;
Lacus Odii,Lacus Odii,72.68,19.22,7.27,"Planetographic, +East, -180 - 180",Approved,“;Lake of Hatred.“;
Lacus Perseverantiae,Lacus Perseverantiae,70.64,7.84,61.93,"Planetographic, +East, -180 - 180",Approved,“;Lake of Perseverance.“;
Lacus Solitudinis,Lacus Solitudinis,122.67,-27.52,103.88,"Planetographic, +East, -180 - 180",Approved,“;Lake of Solitude.“;
Lacus Somniorum,Lacus Somniorum,424.76,37.56,30.80,"Planetographic, +East, -180 - 180",Approved,“;Lake of Dreams.“;
Lacus Spei,Lacus Spei,76.67,43.46,65.20,"Planetographic, +East, -180 - 180",Approved,“;Lake of Hope.“;
Lacus Temporis,Lacus Temporis,205.30,46.77,56.21,"Planetographic, +East, -180 - 180",Approved,“;Lake of Time.“;
Lacus Timoris,Lacus Timoris,153.65,-39.42,-27.95,"Planetographic, +East, -180 - 180",Approved,“;Lake of Fear.“;
Lacus Veris,Lacus Veris,382.88,-16.48,-85.91,"Planetographic, +East, -180 - 180",Approved,“;Lake of Spring.“;
