Host Feat.,Name,Lat.,Long.,Funnel Max Diam. (m),Funnel Min Diam. (m),Inner Max Diam. (m),Inner Max Diam. Sorting,Inner Min Diam. (m),Inner Min Diam. Sorting,Azimuth,Depth (m),Depth Sorting
Adams B,Adams B 1,-31.4121,65.6408,19,10,10,10,N/A,,110,9.0,9.0
Adams B,Adams B 2,-31.5449,65.7223,21,17,14,14,N/A,,85,4.0,4.0
Adams B,Adams B 3,-31.2886,65.7523,38,17,14,14,N/A,,135,2.0,2.0
Aristarchus,Aristarchus 1,23.8889,312.3506,31,16,27,27,10,10,95,13.0,13.0
Aristarchus,Aristarchus 2a,23.873,312.3029,22,18,19,19,16,16,35,5.0,5.0
Aristarchus,Aristarchus 2b,23.8726,312.3053,22,13,13,13,7,7,165,14.0,14.0
Aristarchus,Aristarchus 2c,23.8716,312.3098,38,35,22,22,16,16,145,14.0,14.0
Aristarchus,Aristarchus 3a,23.9331,312.4076,30,25,25,25,18,18,50,13.0,13.0
Aristarchus,Aristarchus 3b,23.9339,312.4084,23,18,18,18,8,8,60,10.0,10.0
Aristarchus,Aristarchus 3c,23.9344,312.407,39,17,16,16,8,8,45,6.0,6.0
Aristarchus,Aristarchus 4,23.914,312.3913,39,33,23,23,22,22,50,8.0,8.0
Aristarchus,Aristarchus 5,23.5984,312.4196,30,16,21,21,7,7,75,>17.0,17.0
Aristarchus,Aristarchus 6,23.4657,312.4235,24,18,12,12,7,7,120,11.0,11.0
Aristarchus,Aristarchus 7a,23.4536,312.3967,20,16,16,16,11,11,45,7.0,7.0
Aristarchus,Aristarchus 7b,23.4532,312.3957,30,27,24,24,12,12,85,5.0,5.0
Aristarchus,Aristarchus 8,23.9091,312.3992,36,30,28,28,23,23,5,7.0,7.0
Aristarchus,Aristarchus 9,23.8631,312.315,25,23,17,17,10,10,15,7.0,7.0
Aristillus,Aristillus 1,33.6622,0.7149,20,20,11,11,10,10,100,11.0,11.0
Aristillus,Aristillus 2,33.5874,1.019,30,36,16,16,9,9,45,14.0,14.0
Aristillus,Aristillus 3,33.5169,0.9128,51,34,33,33,19,19,40,8.0,8.0
Aristillus,Aristillus 4,33.4981,0.9447,28,25,N/A,,N/A,,50,14.0,14.0
Catalán B,Catalán B 1,-45.6547,271.426,32,19,26,26,15,15,175,7.0,7.0
Mare Fecunditatis,Central Mare Fecunditatis Pit,-0.9182,48.6595,198,162,122,122,100,100,155,42.0,42.0
Compton Crater,Compton Pit,56.2247,106.1955,230,140,110,110,92,92,140,35.0,35.0
Copernicus,Copernicus 1,9.9277,340.7455,31,25,11,11,9,9,180,8.0,8.0
Copernicus,Copernicus 10,10.1083,339.9456,N/A,45,38,38,11,11,145,23.0,23.0
Copernicus,Copernicus 11,9.9726,340.7284,28,23,8,8,4,4,130,11.0,11.0
Copernicus,Copernicus 12,9.5539,340.7251,40,30,15,15,10,10,130,18.0,18.0
Copernicus,Copernicus 13a,10.1857,339.8727,123,68,14,14,6,6,120,11.0,11.0
Copernicus,Copernicus 13b,10.1799,339.8811,25,25,5,5,5,5,145,5.0,5.0
Copernicus,Copernicus 14,10.2215,339.9041,N/A,40,20,20,7,7,60,17.0,17.0
