Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿Mare Anguis,22.43,67.58,"Planetographic, +East, -180 - 180",3409.254288187126
﻿Mare Australe,-47.77,91.99,"Planetographic, +East, -180 - 180",1280.5550884118327
﻿Mare Cognitum,-10.53,-22.31,"Planetographic, +East, -180 - 180",2409.796658207159
﻿Mare Crisium,16.18,59.1,"Planetographic, +East, -180 - 180",3219.733348036192
﻿Mare Fecunditatis,-7.83,53.67,"Planetographic, +East, -180 - 180",2491.669704352363
﻿Mare Frigoris,57.59,-0.01,"Planetographic, +East, -180 - 180",4475.423289100223
﻿Mare Humboldtianum,56.92,81.54,"Planetographic, +East, -180 - 180",4455.106644316041
﻿Mare Humorum,-24.48,-38.57,"Planetographic, +East, -180 - 180",1986.785919790274
﻿Mare Imbrium,34.72,-14.91,"Planetographic, +East, -180 - 180",3781.928264899924
﻿Mare Ingenii,-33.25,164.83,"Planetographic, +East, -180 - 180",1720.8501365704835
﻿Mare Insularum,7.79,-30.64,"Planetographic, +East, -180 - 180",2965.3204379775775
﻿Mare Marginis,12.7,86.52,"Planetographic, +East, -180 - 180",3114.2080885601517
﻿Mare Moscoviense,27.28,148.12,"Planetographic, +East, -180 - 180",3556.3225377442523
﻿Mare Nectaris,-15.19,34.6,"Planetographic, +East, -180 - 180",2268.489845230623
﻿Mare Nubium,-20.59,-17.29,"Planetographic, +East, -180 - 180",2104.743752940216
﻿Mare Orientale,-19.87,-94.67,"Planetographic, +East, -180 - 180",2126.5765652456034
﻿Mare Serenitatis,27.29,18.36,"Planetographic, +East, -180 - 180",3556.625771248493
﻿Mare Smythii,-1.71,87.05,"Planetographic, +East, -180 - 180",2677.248608948158
﻿Mare Spumans,1.3,65.3,"Planetographic, +East, -180 - 180",2768.521893724848
﻿Mare Tranquillitatis,8.35,30.83,"Planetographic, +East, -180 - 180",2982.3015142151016
﻿Mare Undarum,7.49,68.66,"Planetographic, +East, -180 - 180",2956.223432850333
﻿Mare Vaporum,13.2,4.09,"Planetographic, +East, -180 - 180",3129.369763772226
