Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Approval Status,Origin
Mons Agnes,Mons Agnes,Moon,0.00,18.66,5.33,"Planetographic, +East, -180 - 180",Approved,Greek female name.
Mons Ampère,Mons Ampere,Moon,29.96,19.32,-3.71,"Planetographic, +East, -180 - 180",Approved,André-Marie; French physicist (1775-1836).
Mons André,Mons Andre,Moon,10.52,5.18,120.56,"Planetographic, +East, -180 - 180",Approved,French male name.
Mons Ardeshir,Mons Ardeshir,Moon,7.10,5.03,121.04,"Planetographic, +East, -180 - 180",Approved,Persian male name.
Mons Argaeus,Mons Argaeus,Moon,61.48,19.33,29.01,"Planetographic, +East, -180 - 180",Approved,Named from peak in Asia Minor (now Erciyas Dagi).
Mons Bradley,Mons Bradley,Moon,76.49,21.73,0.38,"Planetographic, +East, -180 - 180",Approved,James; British astronomer (1693-1762).
Mons Delisle,Mons Delisle,Moon,32.42,29.42,-35.79,"Planetographic, +East, -180 - 180",Approved,Named from nearby crater.
Mons Dieter,Mons Dieter,Moon,20.41,5.00,120.30,"Planetographic, +East, -180 - 180",Approved,German male name.
Mons Dilip,Mons Dilip,Moon,1.37,5.58,120.87,"Planetographic, +East, -180 - 180",Approved,Indian male name.
Mons Esam,Mons Esam,Moon,7.92,14.61,35.71,"Planetographic, +East, -180 - 180",Approved,Arabic male name.
[Mons Euler],Mons Euler,Moon,0.00,23.30,-29.20,"Planetographic, +East, -180 - 180",Dropped,Leonhard; Swiss mathematician (1707-1783).
Mons Ganau,Mons Ganau,Moon,13.49,4.79,120.59,"Planetographic, +East, -180 - 180",Approved,African male name.
Mons Gruithuisen Delta,Mons Gruithuisen Delta,Moon,27.24,36.07,-39.59,"Planetographic, +East, -180 - 180",Approved,Named from nearby crater.
Mons Gruithuisen Gamma,Mons Gruithuisen Gamma,Moon,19.65,36.56,-40.72,"Planetographic, +East, -180 - 180",Approved,Named from nearby crater.
Mons Hadley,Mons Hadley,Moon,26.40,26.69,4.12,"Planetographic, +East, -180 - 180",Approved,"John, British instrument maker (1682-1744)."
Mons Hadley Delta,Mons Hadley Delta,Moon,17.24,25.72,3.71,"Planetographic, +East, -180 - 180",Approved,Named from nearby mountain (Mons Hadley).
Mons Hansteen,Mons Hansteen,Moon,30.65,-12.19,-50.21,"Planetographic, +East, -180 - 180",Approved,Named from nearby crater.
Mons Heng,Mons Heng,Moon,10.60,42.56,-52.12,"Planetographic, +East, -180 - 180",Approved,"Named from terrestrial Mount Heng, in Hunan, China."
