Name,Center Latitude,Center Longitude,Distance from South Pole
Adams B 1,-31.4121,65.6408,1776.5814223150278
﻿Adams B 2,-31.5449,65.7223,1772.5544813787005
﻿Adams B 3,-31.2886,65.7523,1780.32635609241
﻿Aristarchus 1,23.8889,312.3506,3453.4930241209186
﻿Aristarchus 2a,23.873,312.3029,3453.010882849174
﻿Aristarchus 2b,23.8726,312.3053,3452.998753509004
﻿Aristarchus 2c,23.8716,312.3098,3452.9684301585803
﻿Aristarchus 3a,23.9331,312.4076,3454.833316209666
﻿Aristarchus 3b,23.9339,312.4084,3454.8575748900043
﻿Aristarchus 3c,23.9344,312.407,3454.8727365652167
﻿Aristarchus 4,23.914,312.3913,3454.2541402165643
﻿Aristarchus 5,23.5984,312.4196,3444.6840908227023
﻿Aristarchus 6,23.4657,312.4235,3440.6601822214184
﻿Aristarchus 7a,23.4536,312.3967,3440.293269681286
﻿Aristarchus 7b,23.4532,312.3957,3440.281140341116
﻿Aristarchus 8,23.9091,312.3992,3454.1055557994855
﻿Aristarchus 9,23.8631,312.315,3452.710681679975
﻿Aristillus 1,33.6622,0.7149,3749.852224821258
﻿Aristillus 2,33.5874,1.019,3747.5840382095316
﻿Aristillus 3,33.5169,0.9128,3745.4462420046293
﻿Aristillus 4,33.4981,0.9447,3744.876163016655
﻿Catalán B 1,-45.6547,271.426,1344.6980715640361
﻿Central Mare Fecunditatis Pit,-0.9182,48.6595,2701.2586378139995
﻿Compton Pit,56.2247,106.1955,4434.0228187661305
﻿Copernicus 1,9.9277,340.7455,3030.1426641792823
﻿Copernicus 10,10.1083,339.9456,3035.619061265884
﻿Copernicus 11,9.9726,340.7284,3031.504182613327
﻿Copernicus 12,9.5539,340.7251,3018.8077957907353
﻿Copernicus 13a,10.1857,339.8727,3037.966088588713
﻿Copernicus 13b,10.1799,339.8811,3037.790213156253
﻿Copernicus 14,10.2215,339.9041,3039.0516645338976
﻿Copernicus 16,9.4838,340.1616,3016.6821289260024
﻿Copernicus 17a,10.2403,339.6013,3039.621743521872
﻿Copernicus 17b,10.2401,339.6012,3039.6156788517865
﻿Copernicus 18,10.2933,339.5981,3041.228881094352
﻿Copernicus 19a,10.1326,339.6052,3036.355918681191
﻿Copernicus 19b,10.1329,339.6055,3036.3650156863177
﻿Copernicus 2,9.9308,340.7296,3030.2366665655973
﻿Copernicus 20,10.3522,339.7351,3043.0149264343336
﻿Copernicus 21,10.1943,339.847,3038.2268694023605
﻿Copernicus 22,10.2095,339.8873,3038.6877843288075
﻿Copernicus 23,10.2067,339.8978,3038.60287894762
﻿Copernicus 24,10.181,340.4814,3037.82356884172
﻿Copernicus 3,9.9929,340.7149,3032.119746626937
﻿Copernicus 4,10.3288,339.6206,3042.305360034408
﻿Copernicus 5,9.0159,339.7451,3002.493833262542
﻿Copernicus 6a,10.1053,339.995,3035.5280912146113
﻿Copernicus 6b,10.1048,339.9952,3035.5129295393995
﻿Copernicus 7,10.0763,340.0269,3034.648714052311
﻿Copernicus 8,10.1462,339.9373,3036.768316246959
﻿Copernicus 9,10.1385,339.9387,3036.5348264486925
﻿Copernicus LB2,10.0588,339.8038,3034.118055419888
﻿Copernicus LB3,10.0954,339.9231,3035.227890045412
﻿Copernicus LB4,10.2041,339.9985,3038.524038236517
