Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿Rima Agatharchides,-20.38,-28.56,"Planetographic, +East, -180 - 180",2111.111656529287
﻿Rima Agricola,29.25,-53.42,"Planetographic, +East, -180 - 180",3616.0595380798263
﻿Rima Archytas,53.63,3.0,"Planetographic, +East, -180 - 180",4355.34282142059
﻿Rima Ariadaeus,6.48,13.44,"Planetographic, +East, -180 - 180",2925.596848921942
﻿Rima Artsimovich,26.66,-38.65,"Planetographic, +East, -180 - 180",3537.5220604812785
﻿Rima Billy,-14.74,-48.04,"Planetographic, +East, -180 - 180",2282.1353529214903
﻿Rima Birt,-21.4,-9.28,"Planetographic, +East, -180 - 180",2080.1818390966546
﻿Rima Bradley,24.17,-0.6,"Planetographic, +East, -180 - 180",3462.0169179251466
﻿Rima Brayley,22.3,-36.35,"Planetographic, +East, -180 - 180",3405.3122526319867
﻿Rima Calippus,37.03,12.66,"Planetographic, +East, -180 - 180",3851.9752043797084
﻿Rima Cardanus,11.32,-71.14,"Planetographic, +East, -180 - 180",3072.361864974825
﻿Rima Carmen,19.95,29.3,"Planetographic, +East, -180 - 180",3334.0523791352357
﻿Rima Cauchy,10.42,38.07,"Planetographic, +East, -180 - 180",3045.070849593091
﻿Rima Cleomedes,27.98,56.51,"Planetographic, +East, -180 - 180",3577.5488830411555
﻿Rima Cleopatra,30.03,-53.8,"Planetographic, +East, -180 - 180",3639.711751410663
﻿Rima Conon,18.69,1.85,"Planetographic, +East, -180 - 180",3295.844957600807
﻿Rima Dawes,17.58,26.63,"Planetographic, +East, -180 - 180",3262.186038630001
﻿Rima Delisle,30.87,-32.35,"Planetographic, +East, -180 - 180",3665.1833657669486
﻿Rima Diophantus,28.7,-33.67,"Planetographic, +East, -180 - 180",3599.3816953465434
﻿Rima Draper,17.37,-25.37,"Planetographic, +East, -180 - 180",3255.8181350409304
﻿Rimae Alphonsus,-13.4,-1.94,"Planetographic, +East, -180 - 180",2322.76864248985
﻿Rimae Apollonius,4.39,54.33,"Planetographic, +East, -180 - 180",2862.2210465354697
﻿Rimae Archimedes,26.34,-4.53,"Planetographic, +East, -180 - 180",3527.8185883455503
﻿Rimae Aristarchus,27.52,-47.25,"Planetographic, +East, -180 - 180",3563.600141846047
﻿Rimae Arzachel,-18.31,-1.38,"Planetographic, +East, -180 - 180",2173.8809919072764
﻿Rimae Atlas,46.82,44.42,"Planetographic, +East, -180 - 180",4148.840805032132
﻿Rimae Bode,9.54,-3.22,"Planetographic, +East, -180 - 180",3018.3863012198394
﻿Rimae Boscovich,9.87,11.27,"Planetographic, +East, -180 - 180",3028.393006859809
﻿Rimae Burg,44.7,25.27,"Planetographic, +East, -180 - 180",4084.5553021329365
﻿Rimae Chacornac,29.01,31.24,"Planetographic, +East, -180 - 180",3608.78193397803
﻿Rimae Daniell,37.53,24.33,"Planetographic, +East, -180 - 180",3867.136879591784
﻿Rimae Darwin,-19.84,-66.66,"Planetographic, +East, -180 - 180",2127.4862657583276
﻿Rimae de Gasparis,-24.99,-50.3,"Planetographic, +East, -180 - 180",1971.3210110739578
﻿Rimae Doppelmayer,-26.23,-44.53,"Planetographic, +East, -180 - 180",1933.7200565480125
﻿Rimae Focas,-27.68,-97.54,"Planetographic, +East, -180 - 180",1889.7511984329963
﻿Rimae Fresnel,28.11,3.73,"Planetographic, +East, -180 - 180",3581.4909185962956
﻿Rimae Gassendi,-17.47,-39.87,"Planetographic, +East, -180 - 180",2199.352606263562
﻿Rimae Gerard,45.54,-84.36,"Planetographic, +East, -180 - 180",4110.026916489222
﻿Rimae Goclenius,-7.84,42.88,"Planetographic, +East, -180 - 180",2491.3664708481215
﻿Rimae Golitsyn,-25.1,-105.0,"Planetographic, +East, -180 - 180",1967.9854425273008
﻿Rimae Grimaldi,-6.18,-63.9,"Planetographic, +East, -180 - 180",2541.7032325522096
﻿Rimae Gutenberg,-4.42,36.42,"Planetographic, +East, -180 - 180",2595.0723292987127
﻿Rimae Hase,-34.71,67.78,"Planetographic, +East, -180 - 180",1676.578044951225
