Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿Sinus Aestuum,12.1,-8.34,"Planetographic, +East, -180 - 180",3096.014078305662
﻿Sinus Amoris,19.92,37.29,"Planetographic, +East, -180 - 180",3333.1426786225115
﻿Sinus Asperitatis,-5.41,27.49,"Planetographic, +East, -180 - 180",2565.052212378805
﻿Sinus Concordiae,10.98,42.47,"Planetographic, +East, -180 - 180",3062.051925830615
﻿Sinus Fidei,17.99,2.04,"Planetographic, +East, -180 - 180",3274.6186123039024
﻿Sinus Honoris,11.72,17.87,"Planetographic, +East, -180 - 180",3084.4912051444853
﻿Sinus Iridum,45.01,-31.67,"Planetographic, +East, -180 - 180",4093.9555407644216
﻿Sinus Lunicus,32.36,-1.85,"Planetographic, +East, -180 - 180",3710.3651578989316
﻿Sinus Medii,1.63,1.03,"Planetographic, +East, -180 - 180",2778.528599364817
﻿Sinus Roris,50.26,-50.86,"Planetographic, +East, -180 - 180",4253.153130491206
﻿Sinus Successus,1.12,58.52,"Planetographic, +East, -180 - 180",2763.0636906485006
﻿Palus Epidemiarum,-32.0,-27.54,"Planetographic, +East, -180 - 180",1758.75432460067
﻿Palus Putredinis,27.36,0.0,"Planetographic, +East, -180 - 180",3558.7484057781835
﻿Palus Somni,13.69,44.72,"Planetographic, +East, -180 - 180",3144.22820548006
