Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿Vallis Alpes,49.21,3.63,"Planetographic, +East, -180 - 180",4221.3136125458495
﻿Vallis Baade,-45.55,-77.23,"Planetographic, +East, -180 - 180",1347.8729263534447
﻿Vallis Bohr,10.25,-88.86,"Planetographic, +East, -180 - 180",3039.9158800209857
﻿Vallis Bouvard,-38.45,-82.32,"Planetographic, +East, -180 - 180",1563.1687143649056
﻿Vallis Capella,-7.39,35.04,"Planetographic, +East, -180 - 180",2505.011978538989
﻿Vallis Christel,24.54,11.08,"Planetographic, +East, -180 - 180",3473.2365575820813
﻿Vallis Inghirami,-43.95,-72.59,"Planetographic, +East, -180 - 180",1396.3902870320837
﻿Vallis Krishna,24.5,11.26,"Planetographic, +East, -180 - 180",3472.023623565116
﻿Vallis Palitzsch,-26.16,64.64,"Planetographic, +East, -180 - 180",1935.842691077703
﻿Vallis Planck,-57.26,126.16,"Planetographic, +East, -180 - 180",992.7864928866542
﻿Vallis Rheita,-42.51,51.65,"Planetographic, +East, -180 - 180",1440.055911642859
﻿Vallis Schrodinger,-66.52,104.88,"Planetographic, +East, -180 - 180",711.9922679590301
﻿Vallis Schroteri,26.16,-51.58,"Planetographic, +East, -180 - 180",3522.360385269204
﻿Vallis Snellius,-30.93,57.84,"Planetographic, +East, -180 - 180",1791.20030955451
